gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,costat,ggroup
126136,20211231,2021,INDL,C,D,STD,CHTR,CHARTER COMMUNICATIONS INC,USD,A,5020
126296,20211231,2021,INDL,C,D,STD,EXPE,EXPEDIA GROUP INC,USD,A,2530
126554,20211031,2021,INDL,C,D,STD,A,AGILENT TECHNOLOGIES INC,USD,A,3520
126721,20211231,2021,INDL,C,D,STD,TDY,TELEDYNE TECHNOLOGIES INC,USD,A,4520
127377,20211231,2021,INDL,C,D,STD,BGCP,BGC PARTNERS INC,USD,A,4020
128978,20211231,2021,INDL,C,D,STD,PKG,PACKAGING CORP OF AMERICA,USD,A,1510
129466,20211231,2021,INDL,C,D,STD,AGEN,AGENUS INC,USD,A,3520
133288,20211231,2021,INDL,C,D,STD,SLAB,SILICON LABORATORIES INC,USD,A,4530
133366,20211231,2021,INDL,C,D,STD,EW,EDWARDS LIFESCIENCES CORP,USD,A,3510
133367,20210930,2021,INDL,C,D,STD,EPC,EDGEWELL PERSONAL CARE CO,USD,A,3030
133468,20211231,2021,INDL,C,D,STD,RIGL,RIGEL PHARMACEUTICALS INC,USD,A,3520
133726,20210930,2021,INDL,C,D,STD,CCMP,CMC MATERIALS INC,USD,A,4530
133766,20211231,2021,INDL,C,D,STD,HSTM,HEALTHSTREAM INC,USD,A,3510
133768,20211231,2021,INDL,C,D,STD,MET,METLIFE INC,USD,A,4030
133869,20211231,2021,INDL,C,D,STD,LPSN,LIVEPERSON INC,USD,A,4510
133871,20211231,2021,INDL,C,D,STD,SGMO,SANGAMO THERAPEUTICS INC,USD,A,3520
133885,20211231,2021,INDL,C,D,STD,EXEL,EXELIXIS INC,USD,A,3520
134932,20211231,2021,INDL,C,D,STD,ON,ON SEMICONDUCTOR CORP,USD,A,4530
135788,20211231,2021,INDL,C,D,STD,CEVA,CEVA INC,USD,A,4530
135990,20211231,2021,INDL,C,D,STD,NRG,NRG ENERGY INC,USD,A,5510
136186,20211231,2021,INDL,C,D,STD,INSM,INSMED INC,USD,A,3520
136265,20211231,2021,INDL,C,D,STD,PACW,PACWEST BANCORP,USD,A,4010
136648,20211231,2021,INDL,C,D,STD,VC,VISTEON CORP,USD,A,2510
136725,20211231,2021,INDL,C,D,STD,ISRG,INTUITIVE SURGICAL INC,USD,A,3510
137131,20211231,2021,INDL,C,D,STD,CRL,CHARLES RIVER LABS INTL INC,USD,A,3520
137310,20220131,2021,INDL,C,D,STD,MRVL,MARVELL TECHNOLOGY INC,USD,A,4530
137351,20211231,2021,INDL,C,D,STD,BHLB,BERKSHIRE HILLS BANCORP INC,USD,A,4010
137573,20211231,2021,INDL,C,D,STD,ENTG,ENTEGRIS INC,USD,A,4530
137602,20211231,2021,INDL,C,D,STD,ACLS,AXCELIS TECHNOLOGIES INC,USD,A,4530
137943,20211231,2021,INDL,C,D,STD,EVC,ENTRAVISION COMMUNICATIONS,USD,A,5020
138205,20211231,2021,INDL,C,D,STD,ILMN,ILLUMINA INC,USD,A,3520
138341,20211231,2021,INDL,C,D,STD,CRIS,CURIS INC,USD,A,3520
138483,20211231,2021,INDL,C,D,STD,BRKR,BRUKER CORP,USD,A,3520
138743,20211231,2021,INDL,C,D,STD,EQIX,EQUINIX INC,USD,A,6010
139025,20211231,2021,INDL,C,D,STD,PNFP,PINNACLE FINL PARTNERS INC,USD,A,4010
139665,20211231,2021,INDL,C,D,STD,MCO,MOODY'S CORP,USD,A,4020
139804,20211231,2021,INDL,C,D,STD,TTMI,TTM TECHNOLOGIES INC,USD,A,4520
140044,20211231,2021,INDL,C,D,STD,DRRX,DURECT CORP,USD,A,3520
140073,20211231,2021,INDL,C,D,STD,ITGR,INTEGER HOLDINGS CORP,USD,A,3510
140988,20211231,2021,INDL,C,D,STD,TNET,TRINET GROUP INC,USD,A,2020
141178,20211231,2021,INDL,C,D,STD,INSG,INSEEGO CORP,USD,A,4520
141277,20211231,2021,INDL,C,D,STD,EXAS,EXACT SCIENCES CORP,USD,A,3520
141384,20211231,2021,INDL,C,D,STD,ALGN,ALIGN TECHNOLOGY INC,USD,A,3510
141459,20211231,2021,INDL,C,D,STD,GRMN,GARMIN LTD,USD,A,2520
